long,lat,boron,nitrogen,phos,potas,pH,zinc,clay,OM,Sand,Silt,Rainfall,Temp,Elevation,Slope,nearest_rainfall,Water,Road,LULC_Code
83.99182,28.57758,0.652957,0.3010259,147.8939819,459.3405151,6.369185,3.0457175,13.85853,4.4479265,51.6546936,35.6878014,1733.719971,-12.2826004,7048,63.7020416,54.7938271,4080.620361,9998.464844,2
83.99902,28.57758,0.6552836,0.3022167,146.9836731,459.6838074,6.3695593,3.0477312,13.8224087,4.4460979,51.7433968,35.6433983,1710.469971,-6.5127702,6176,41.6689987,178.3788605,4760.723633,10583.70898,2
84.00621,28.57758,0.6574884,0.3036225,146.2212982,459.9319458,6.3718672,3.0583246,13.7903824,4.4441152,51.9004478,35.576107,1693.609985,-6.1486802,6198,58.129055,111.7458878,4907.241699,11187.22461,2
84.0134,28.57758,0.659129,0.3052482,145.3322906,459.9776001,6.3750839,3.079035,13.752512,4.4417615,52.0810165,35.5082359,1680.329956,-3.0985899,5719,55.7826385,162.3923645,5100.775391,11792.78613,3
84.02059,28.57758,0.6602982,0.307019,144.3464661,459.7693176,6.3791995,3.1092598,13.710207,4.438911,52.2862473,35.4394684,1672.619995,-9.5078001,5929,58.4743156,200.0209045,5145.916016,12433.50684,3
83.812,28.57039,0.5766418,0.2693605,165.3226776,413.2419434,6.4488249,4.2013631,14.163825,4.3929057,51.2598686,37.2714767,2233.949951,-11.0384998,6634,60.0833702,84.1792755,4868.799316,7166.73584,2
83.81919,28.57039,0.5796205,0.2696154,164.8956299,414.7909546,6.4436922,4.118475,14.135848,4.3959413,51.2557068,37.2160683,2236.350098,2.55616,5605,25.433382,344.124054,4206.207031,6634.342285,9
83.82638,28.57039,0.5826013,0.2699713,164.4396057,416.3998108,6.4385285,4.0390739,14.1110468,4.3987303,51.2586098,37.157135,2237.560059,-5.4377699,5485,18.0881081,137.0825653,3550.243897,6111.759277,2
83.83357,28.57039,0.5855691,0.2704247,163.9589386,418.0713196,6.4333372,3.9628448,14.0890226,4.4013438,51.267128,37.0952873,2238.090088,-5.4601002,5280,25.5437508,110.0260925,2905.403076,5630.49707,2
83.84077,28.57039,0.5885137,0.2709726,163.4588165,419.8110352,6.4281301,3.8894672,14.0694952,4.403883,51.2802963,37.0309067,2236.699951,-4.0138402,5083,22.6768169,146.4695282,2281.136231,5203.249023,3
83.84796,28.57039,0.5914331,0.2716165,162.9434967,421.6248474,6.4229207,3.8186507,14.0523434,4.4064116,51.297245,36.9645653,2233.850098,-2.2632799,4860,37.7654572,143.8128967,1700.258545,4834.097656,3
83.85515,28.57039,0.5943443,0.2723744,162.4165039,423.5270691,6.4177408,3.7501442,14.0379152,4.408906,51.3170738,36.8978615,2230.02002,7.5940599,4721,31.2669945,113.1985931,1140.568115,4557.630859,9
83.86235,28.57039,0.5972467,0.273245,161.8807068,425.5289612,6.4126072,3.6837537,14.0262184,4.4113889,51.3386497,36.8314934,2223.959961,-4.0797801,4738,33.5320015,186.1799316,1020.15509,4360.33252,2
